Station	Instrument	Longitude(DecDeg)	Latitude(DecDeg)	Time(ISO8601)	Depth(m)
FB-drifter_021_065	IgotU#9999	-55.353410	47.517270	2011-07-05T05:15:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353380	47.516800	2011-07-05T05:20:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353580	47.516360	2011-07-05T05:24:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354400	47.515210	2011-07-05T05:34:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354530	47.514680	2011-07-05T05:38:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354700	47.514140	2011-07-05T05:43:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354730	47.513640	2011-07-05T05:48:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354800	47.513210	2011-07-05T05:53:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355010	47.512790	2011-07-05T05:57:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355070	47.512270	2011-07-05T06:02:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355120	47.511830	2011-07-05T06:07:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355150	47.511410	2011-07-05T06:12:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355260	47.510970	2011-07-05T06:17:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355300	47.510440	2011-07-05T06:21:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355360	47.510040	2011-07-05T06:26:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355450	47.509550	2011-07-05T06:31:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355580	47.509080	2011-07-05T06:35:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355520	47.508700	2011-07-05T06:40:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355610	47.508210	2011-07-05T06:45:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355680	47.507750	2011-07-05T06:49:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355660	47.507290	2011-07-05T06:54:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355710	47.506870	2011-07-05T06:59:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355680	47.506380	2011-07-05T07:03:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355590	47.505870	2011-07-05T07:08:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355590	47.505390	2011-07-05T07:13:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355590	47.505100	2011-07-05T07:18:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355450	47.504440	2011-07-05T07:22:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355370	47.503890	2011-07-05T07:27:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355300	47.503460	2011-07-05T07:32:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355230	47.502940	2011-07-05T07:36:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355150	47.502470	2011-07-05T07:41:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355130	47.502030	2011-07-05T07:46:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355080	47.501590	2011-07-05T07:50:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355030	47.501100	2011-07-05T07:55:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354960	47.500600	2011-07-05T08:00:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354890	47.500090	2011-07-05T08:05:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354830	47.499570	2011-07-05T08:09:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354770	47.499050	2011-07-05T08:14:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354720	47.498520	2011-07-05T08:19:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354680	47.498000	2011-07-05T08:23:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354710	47.497500	2011-07-05T08:28:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354660	47.496950	2011-07-05T08:33:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354530	47.496380	2011-07-05T08:37:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354490	47.495830	2011-07-05T08:42:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354320	47.495210	2011-07-05T08:47:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354320	47.494630	2011-07-05T08:52:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354260	47.494050	2011-07-05T08:56:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354150	47.493440	2011-07-05T09:01:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354340	47.492770	2011-07-05T09:07:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354320	47.492140	2011-07-05T09:12:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354280	47.491640	2011-07-05T09:16:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354190	47.491120	2011-07-05T09:21:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354080	47.490510	2011-07-05T09:26:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354130	47.489960	2011-07-05T09:30:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354060	47.489410	2011-07-05T09:35:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354080	47.488860	2011-07-05T09:40:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354080	47.488370	2011-07-05T09:44:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354030	47.487780	2011-07-05T09:49:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354030	47.487240	2011-07-05T09:54:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354020	47.486740	2011-07-05T09:59:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353940	47.486180	2011-07-05T10:03:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353790	47.485530	2011-07-05T10:08:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353760	47.485080	2011-07-05T10:13:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353850	47.484650	2011-07-05T10:17:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353710	47.484190	2011-07-05T10:22:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353610	47.483600	2011-07-05T10:27:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353590	47.483150	2011-07-05T10:32:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353520	47.482700	2011-07-05T10:36:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353390	47.482180	2011-07-05T10:41:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353260	47.481690	2011-07-05T10:46:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353260	47.481290	2011-07-05T10:50:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353150	47.480830	2011-07-05T10:55:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353100	47.480420	2011-07-05T11:00:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353000	47.479970	2011-07-05T11:05:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353010	47.479580	2011-07-05T11:09:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352770	47.478580	2011-07-05T11:19:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352740	47.478160	2011-07-05T11:24:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352810	47.477800	2011-07-05T11:28:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352810	47.477340	2011-07-05T11:33:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352740	47.476910	2011-07-05T11:38:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352620	47.476320	2011-07-05T11:43:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352580	47.475920	2011-07-05T11:48:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352450	47.475400	2011-07-05T11:52:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352310	47.474930	2011-07-05T11:57:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352230	47.474410	2011-07-05T12:02:00	 10.
FB-drifter_021_065	IgotU#9999	-55.352090	47.473940	2011-07-05T12:07:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351990	47.473450	2011-07-05T12:11:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351870	47.472960	2011-07-05T12:16:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351710	47.472460	2011-07-05T12:21:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351700	47.471950	2011-07-05T12:26:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351490	47.471410	2011-07-05T12:30:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351350	47.470930	2011-07-05T12:35:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351240	47.470400	2011-07-05T12:40:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351300	47.469910	2011-07-05T12:44:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351140	47.469360	2011-07-05T12:49:00	 10.
FB-drifter_021_065	IgotU#9999	-55.351070	47.468860	2011-07-05T12:54:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350800	47.468280	2011-07-05T12:59:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350860	47.467790	2011-07-05T13:03:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350650	47.467210	2011-07-05T13:08:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350540	47.466660	2011-07-05T13:13:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350270	47.465590	2011-07-05T13:22:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350110	47.465040	2011-07-05T13:27:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350160	47.463410	2011-07-05T13:41:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350220	47.462910	2011-07-05T13:46:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350140	47.462330	2011-07-05T13:51:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350090	47.461820	2011-07-05T13:56:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350120	47.461300	2011-07-05T14:01:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350080	47.460780	2011-07-05T14:07:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350040	47.460370	2011-07-05T14:12:00	 10.
FB-drifter_021_065	IgotU#9999	-55.350000	47.459930	2011-07-05T14:16:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349950	47.459500	2011-07-05T14:21:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349850	47.459060	2011-07-05T14:26:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349820	47.458620	2011-07-05T14:30:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349730	47.458180	2011-07-05T14:35:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349620	47.457720	2011-07-05T14:40:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349540	47.457350	2011-07-05T14:45:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349530	47.456860	2011-07-05T14:49:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349400	47.456420	2011-07-05T14:54:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349330	47.455950	2011-07-05T14:59:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349290	47.455440	2011-07-05T15:04:00	 10.
FB-drifter_021_065	IgotU#9999	-55.349200	47.454990	2011-07-05T15:08:00	 10.
FB-drifter_021_066	IgotU#9999	-55.393900	47.522260	2011-07-04T19:14:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393470	47.521930	2011-07-04T19:18:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393270	47.521670	2011-07-04T19:22:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393040	47.521450	2011-07-04T19:27:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392820	47.521210	2011-07-04T19:31:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392680	47.520890	2011-07-04T19:35:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392360	47.520390	2011-07-04T19:39:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392040	47.519870	2011-07-04T19:44:00	  1.
FB-drifter_021_066	IgotU#9999	-55.391780	47.519520	2011-07-04T19:48:00	  1.
FB-drifter_021_066	IgotU#9999	-55.391510	47.519180	2011-07-04T19:52:00	  1.
FB-drifter_021_066	IgotU#9999	-55.391190	47.518880	2011-07-04T19:56:00	  1.
FB-drifter_021_066	IgotU#9999	-55.390810	47.518620	2011-07-04T20:00:00	  1.
FB-drifter_021_066	IgotU#9999	-55.390570	47.518220	2011-07-04T20:05:00	  1.
FB-drifter_021_066	IgotU#9999	-55.390250	47.517910	2011-07-04T20:09:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389980	47.517470	2011-07-04T20:13:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389760	47.517000	2011-07-04T20:17:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389520	47.516630	2011-07-04T20:21:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389300	47.516280	2011-07-04T20:26:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389040	47.515930	2011-07-04T20:30:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388840	47.515730	2011-07-04T20:34:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388510	47.515260	2011-07-04T20:38:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388580	47.514560	2011-07-04T20:42:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388440	47.514040	2011-07-04T20:47:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388250	47.513490	2011-07-04T20:51:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388210	47.513060	2011-07-04T20:55:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388210	47.512680	2011-07-04T21:00:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388050	47.512270	2011-07-04T21:04:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388340	47.510310	2011-07-04T21:27:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388400	47.509890	2011-07-04T21:32:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388570	47.509570	2011-07-04T21:36:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388690	47.509350	2011-07-04T21:40:00	  1.
FB-drifter_021_066	IgotU#9999	-55.388860	47.508960	2011-07-04T21:44:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389020	47.508700	2011-07-04T21:49:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389200	47.508450	2011-07-04T21:53:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389330	47.508330	2011-07-04T21:57:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389530	47.508100	2011-07-04T22:01:00	  1.
FB-drifter_021_066	IgotU#9999	-55.389650	47.507980	2011-07-04T22:05:00	  1.
